track_name,artist_name,album_name,release_date,duration,song_popularity,album_img,track_uri,artist_uri,album_uri
Make Yourself,Incubus,Make Yourself,1999-10-26,183146,50,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e,spotify:track:7GkgOD5KQtoOFXYyY9mySX,spotify:artist:3YcBF2ttyueytpXtEzn1Za,spotify:album:2i6nd4FV6y7K9fln6eelmR
4real,Kenny Mason,4real,2017-11-08,225123,46,https://i.scdn.co/image/ab67616d0000b2730e533595d186c3f6fb3fc84b,spotify:track:3Vd8V6S0RniTsJlMkTZIqD,spotify:artist:4mwdnO2jZrMmMVrjcHsZBv,spotify:album:3VmkoeGdvTVpf0bFpgxkoO
OneFineBiddy,Chef E,OneFineBiddy,2020-06-26,222898,44,https://i.scdn.co/image/ab67616d0000b2736439e3d07f893c8d6a065b57,spotify:track:4RuUCL6A0JWEyKZUWeVaCA,spotify:artist:6WcZq9YasCirKcfuNDajZU,spotify:album:0wyYGMFqmDb9ZzNW5GItZ0
OUR FINAL RIDE - Slowed and Reverbed,Szmovy,OUR FINAL RIDE,2022-06-24,189379,29,https://i.scdn.co/image/ab67616d0000b273cb49d67c9aff3571b1da3290,spotify:track:0v3TdftGjPaRMoZMylhicB,spotify:artist:4tpuU5KyrY1zytPgYGnxNF,spotify:album:7E7PcTQKspipu2sosTZLPq
Bodak Yellow,Cardi B,Invasion of Privacy,2018-04-06,223712,73,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,spotify:track:6KBYefIoo7KydImq1uUQlL,spotify:artist:4kYSro6naA4h99UJvo89HB,spotify:album:4KdtEKjY3Gi0mKiSdy96ML
Foldin Clothes,J. Cole,4 Your Eyez Only,2016-12-09,316920,57,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,spotify:track:77IAeEz8LEchPN8UNjaTJ2,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,spotify:album:3CCnGldVQ90c26aFATC1PW
Loud Pipes,Ratatat,Classics,2006-08-22,226533,0,https://i.scdn.co/image/ab67616d0000b273dcd3381d0213c26dd278e81c,spotify:track:5ZrrXIYTvjXPKVQMjqaumR,spotify:artist:57dN52uHvrHOxijzpIgu3E,spotify:album:2n5wpk7KaHpp3mgUYqpF4f
Wasted,Tiësto,A Town Called Paradise (Deluxe),2014-06-13,190013,64,https://i.scdn.co/image/ab67616d0000b27398d7415fe3899cdffe673b22,spotify:track:7m3povhdMDLZwuEKak0l0n,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,spotify:album:1116PKIKlArm87HVaPtonW
In / Out - Baardsen Remix,Dan Croll,In / Out,2013-01-01,223306,38,https://i.scdn.co/image/ab67616d0000b27310c2321e1cc570d27df18942,spotify:track:2D68vwpabaYmUoyphL54ny,spotify:artist:5Rr15NSbi1Xjno1AEP9u21,spotify:album:7sh1sVkeAsbg4LuGZkKfZZ
Faded,ZHU,THE NIGHTDAY,2014-09-11,223480,61,https://i.scdn.co/image/ab67616d0000b273a5aa7beadbc1f93d0ec01f23,spotify:track:2GQEM9JuHu30sGFvRYeCxz,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,spotify:album:59irM3hSsX9Kpj31rJnsHc
Sugar (feat. Francesco Yates),Robin Schulz,Sugar (feat. Francesco Yates),2015-07-17,219043,57,https://i.scdn.co/image/ab67616d0000b27304f3fe153a1f33e8e70ceda4,spotify:track:3NFuE3uDOr6QUw9UZ9HzKo,spotify:artist:3t5xRXzsuZmMDkQzgOX35S,spotify:album:23XWXQAZVXGyRRpEmYOyQF
Hostage,Danrell,Hostage,2015-11-13,195857,48,https://i.scdn.co/image/ab67616d0000b2734972cea7ac85efe465f28676,spotify:track:6xUHtKE18uTWVaCt6q1adW,spotify:artist:1RzXK6ikrwaOZBCdt9kZSw,spotify:album:1fpH6sYiAEbhzcAo8BC8sY
Collapse (feat. Memorecks),Zeds Dead,Somewhere Else,2014-07-01,284444,50,https://i.scdn.co/image/ab67616d0000b2734d5c8a973e6361676edf7d2d,spotify:track:4fb0iBhHbQeiJHOfLr6R75,spotify:artist:67qogtRNI0GjUr8PlaG6Zh,spotify:album:2exLV5mQB8e2cWVoFUgkyv
How We Feel,Panama,Always EP (Deluxe Edition),2014-03-03,243360,34,https://i.scdn.co/image/ab67616d0000b27321bb7fbfbfcd13f63642800d,spotify:track:1UugNeXATVn1iEfuWsEyDz,spotify:artist:3W9UldYu0xJcaOAw2SUTDI,spotify:album:6ABkacBzpf0AQ7z7xfUtt2
Coast Is Clear,Skrillex,Recess,2014-03-14,243546,45,https://i.scdn.co/image/ab67616d0000b273f034b00d0a05cd6504b49beb,spotify:track:1c35oVynBuaFs99MNGUOUj,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:album:7rf1qZJ6hGSlPN7K9ShsVV
It's All on U - T-Mass & LZRD Remix,ILLENIUM,Ashes (Remixes),2016-12-16,204778,54,https://i.scdn.co/image/ab67616d0000b273fda20cdc450b6b35db77f046,spotify:track:0Vc3nfRMdvY5iX6AHVWSMN,spotify:artist:45eNHdiiabvmbp4erw26rg,spotify:album:2R7PeUrbSseLkirdasHPqg
Back Again,Ookay,Cocoon,2016-10-07,190800,32,https://i.scdn.co/image/ab67616d0000b2735199794822803e60d5a309f1,spotify:track:0kjcaDSJQ6miw9OwUWcbQw,spotify:artist:1HQGhla3VNj1dBmKTtVT2t,spotify:album:0nLv6gpA53mI53IUqiEXjW
Light,San Holo,Light,2017-02-10,239853,62,https://i.scdn.co/image/ab67616d0000b273a5c1582e2b2b087ee7862758,spotify:track:6jq6rcOikCZAmjliAgAmfT,spotify:artist:0jNDKefhfSbLR9sFvcPLHo,spotify:album:4k2ygY7kW4n1eVtR2i0F0H
Thief,Ookay,Thief,2016-09-02,239711,58,https://i.scdn.co/image/ab67616d0000b2737ab69ead324ebd9a3b629a63,spotify:track:5Ce9z7GqSknXccyppRxNLY,spotify:artist:1HQGhla3VNj1dBmKTtVT2t,spotify:album:1TEDJMksfymmVbEpa3pG26
Clear,Pusher,Clear,2016-06-24,236638,0,https://i.scdn.co/image/ab67616d0000b2737d8687ff00fc741ad27003b4,spotify:track:5aSpdEubSdMnRNevctb55H,spotify:artist:2exudSjTjUksRJhnF5JZYn,spotify:album:4UEnjmsxamL7Ojl3t9i43K
Spirals,Vindata,Through Time And Space...,2015-08-14,162083,27,https://i.scdn.co/image/ab67616d0000b273bceac6d59515df86d273e901,spotify:track:61PDDWKctBL2SQvRLSB7vq,spotify:artist:1Vxf1UfzcxqzqItoOA0DDT,spotify:album:3YtCeXNXsv7dz3LtBNs4xW
Feels Great (feat. Fetty Wap & CVBZ) - Party Pupils Remix,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ) [Remixes],2018-02-23,182520,21,https://i.scdn.co/image/ab67616d0000b2737706fc6a6079180a01dc796c,spotify:track:4T7HmSqkYzeMu3IqZ8C7SU,spotify:artist:7DMveApC7UnC2NPfPvlHSU,spotify:album:3TJAx72o6dzZJgsCb2ZjlO
About You,Colouring,Symmetry,2016-12-02,188333,29,https://i.scdn.co/image/ab67616d0000b273218c454bfb35ba852f4579ce,spotify:track:1eYgb5jt3qBEICuwHDyjW9,spotify:artist:0p4HbDx1JTF3QLaBznAOrU,spotify:album:7wUP1iUObau6jXYCX0KGOo
Chronicles of a Fallen Love,The Bloody Beetroots,HIDE,2013-09-16,337946,0,https://i.scdn.co/image/ab67616d0000b273e34cfbf1a89e49f4a6bfa88b,spotify:track:6MVXdWtPSNMlpn7BuGtCWD,spotify:artist:0QJKELJZZuLAjqLOOixJm5,spotify:album:0JAJjnjhogNpepT1Laz2Up
Have Faith In Me,A Day To Remember,Homesick,2009,188813,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:5D25Vmd458UZ6n27g76d3l,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
It's Dangerous Business Walking Out Your Front Door,Underoath,They're Only Chasing Safety,2004-01-01,238573,50,https://i.scdn.co/image/ab67616d0000b273c05f1b9f41f21afa225ce2ae,spotify:track:6MdAoknD4tWcqYm7J0SQGh,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,spotify:album:5GeXnKDk6sD6RnkPVwFi19
Hope,We Came As Romans,Tracing Back Roots,2013-07-23,248493,37,https://i.scdn.co/image/ab67616d0000b273a1587be9c5e906a0a7f13609,spotify:track:717M9o5bZedADKa66AxqOg,spotify:artist:6qO6LhD6FuXK5e2PtfAIMz,spotify:album:3ySPWG4MBmIiJqDh1Kuio5
A Reason For Broken Wings,A Skylit Drive,She Watched The Sky,2007-11-27,267560,32,https://i.scdn.co/image/ab67616d0000b2734e1d35a56ec3dc56c17d285f,spotify:track:47N7tAV0SrLUtfxGoU8vlO,spotify:artist:2HSp2S2KwxKE7sASl6bMR9,spotify:album:1DqmW3Jut1Zs61jEE65ej5
The Boy Who Could Fly,Pierce The Veil,Selfish Machines,2010-06-21,307786,52,https://i.scdn.co/image/ab67616d0000b2735eae69bbe37d5f382155e387,spotify:track:635K4hTo5J8d7q8qhfcTMH,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:01dcOm8Whefyve6zChrq9Q
Watered Down,The Used,Artwork (Deluxe Edition),2009-08-10,237520,20,https://i.scdn.co/image/ab67616d0000b273c72e28c0f5a3cdb930b7a2af,spotify:track:5JVl1XlLpTwuXarxLhFyDB,spotify:artist:55VydwMyCuGcavwPuhutPL,spotify:album:3998jgjlz1fvCo57NoN07p
Bulletproof Love,Pierce The Veil,Selfish Machines,2010-06-21,237400,63,https://i.scdn.co/image/ab67616d0000b2735eae69bbe37d5f382155e387,spotify:track:6bGac1gBHs7kUKihrudMzq,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:01dcOm8Whefyve6zChrq9Q
King For A Day,Pierce The Veil,Collide With The Sky,2012-07-17,236293,73,https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:661Hz0qJK8WIp7vAWsqKvk
The Cheap Bouquet,Pierce The Veil,A Flair For The Dramatic,2007,229093,44,https://i.scdn.co/image/ab67616d0000b273d2d0137c32938ae8cb44e0ca,spotify:track:5hC3nG6GuJoTUZixqS0Co4,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:6LkthUHeWKSJsXhjs7SXFq
Until the Day I Die,Story Of The Year,Until the Day I Die,2003-09-16,235200,35,https://i.scdn.co/image/ab67616d0000b2732baa95f62de624c0d79fd231,spotify:track:4w6mSxebOG12tvw1bm9oxu,spotify:artist:0KDuKk6YdEu3hR56HtXmxt,spotify:album:5sbZlRLS04WGSnBbREy8LM
Buried a Lie,Senses Fail,Let It Enfold You,2004-09-07,179986,53,https://i.scdn.co/image/ab67616d0000b2737ea194192fd7de75a6379813,spotify:track:2y8VWxzuw49UaIc4F5QIQk,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,spotify:album:2NLyP6U1OZZ8d4PvbVANLT
Something,Escape the Fate,This War Is Ours (Deluxe Edition),2010-04-27,217293,48,https://i.scdn.co/image/ab67616d0000b273b69af5d9f8fb68e9c820d662,spotify:track:6RBY5ToIdDyhM1JNxEYqhd,spotify:artist:5ojhEavq6altxW8fWIlLum,spotify:album:56a9Tuww0ddc52DHYG61Ai
"Searching, Seeking, Reaching, Always",We Came As Romans,To Plant a Seed,2009-11-03,176373,23,https://i.scdn.co/image/ab67616d0000b2731a8ba9aa6ad6b8e8a15bd751,spotify:track:1pN0aOCQ1av1ZGcM1tX8u7,spotify:artist:6qO6LhD6FuXK5e2PtfAIMz,spotify:album:44795EGYAZXGdRhV0pgTIB
